0	15
0	16
0	17
0	18
0	19
1	15
1	19
2	16
2	19
3	9
3	10
3	11
3	12
3	13
3	14
3	15
3	16
3	19
4	8
4	9
4	19
5	8
5	19
6	8
6	19
7	8
7	19
8	7
8	19
8	20
9	7
9	21
9	22
10	7
10	23
10	24
11	7
11	25
11	26
12	7
12	26
13	7
13	27
14	8
14	27
14	33
14	34
14	35
14	36
14	37
15	8
15	28
15	29
15	30
15	31
15	32
15	38
15	39
15	40
16	8
16	41
16	42
16	43
17	8
17	44
17	45
18	8
18	45
19	8
19	46
20	7
20	45
21	5
21	6
21	45
22	5
22	44
23	5
23	44
23	45
23	46
24	5
24	46
25	5
25	36
25	45
26	4
26	5
26	34
26	35
26	37
26	38
26	43
26	44
27	4
27	32
27	33
27	39
27	40
27	41
27	42
28	0
28	1
28	2
28	30
28	31
29	0
29	28
29	29
30	0
30	26
30	27
31	0
31	24
31	25
32	1
32	2
32	3
32	4
32	22
32	23
33	5
33	6
33	21
34	5
34	19
34	20
35	5
35	18
35	19
36	5
36	6
36	7
36	8
36	9
36	10
36	11
36	12
36	13
36	14
36	15
36	16
36	17
